"ID","AVAILABLECAR"
"010001","30"
"010002","-9"
"010003","-9"
"010004","22"
"010008","44"
"010009","30"
"010010","56"
"010011","17"
"010013","281"
"010014","18"
"010015","2"
"010016","1"
"010018","53"
"010020","17"
"010021","15"
"010022","17"
"010024","23"
"010028","-9"
"010029","4"
"010033","0"
"010034","179"
"010036","17"
"010037","-9"
"010038","5"
"010039","67"
"010040","-9"
"010041","-9"
"010042","-9"
"010043","7"
"010044","77"
"010045","16"
"010046","-9"
"010050","-9"
"010051","-9"
"010052","-9"
"010052","-9"
"010053","-9"
"010054","-9"
"010056","-9"
"010059","-9"
"010064","-9"
"010065","-9"
"010068","-9"
"010069","-9"
"010070","-9"
"010072","-9"
"010079","-9"
"010082","-9"
"010085","2"
"010086","-9"
"010089","-9"
"010090","-9"
"010091","-9"
"010093","-9"
"010096","-9"
"010097","-9"
"010102","-9"
"010103","14"
"010104","21"
"010108","7"
"010109","-9"
"010110","38"
"010112","-9"
"010114","-9"
"010115","-9"
"010116","133"
"010121","-9"
"010122","-9"
"010123","-9"
"010124","-9"
"010125","2"
"010126","-9"
"010127","-9"
"010129","-9"
"010130","-9"
"010131","82"
"010132","-9"
"010134","-9"
"010135","-9"
"010136","-9"
"010137","-9"
"010139","17"
"010140","1"
"010142","-9"
"010143","-9"
"010144","-9"
"010146","51"
"010147","-9"
"010148","-9"
"010149","76"
"010150","-9"
"010151","-9"
"010152","54"
"010153","-9"
"010154","124"
"010155","-9"
"010156","38"
"010157","36"
"010159","-9"
"010160","-9"
"010161","-9"
"010163","-9"
"010164","-9"
"010165","-9"
"010166","-9"
"010167","-9"
"010167","-9"
"010168","-9"
"010169","-9"
"010171","104"
"010172","-9"
"010173","-9"
"010176","-9"
"010177","-9"
"010178","-9"
"010179","-9"
"010180","-9"
"010181","31"
"010182","-9"
"010183","-9"
"010184","-9"
"010185","-9"
"010186","-9"
"010187","-9"
"010188","-9"
"010189","-9"
"010190","-9"
"010191","-9"
"010192","-9"
"010193","-9"
"010194","-9"
"010197","-9"
"010198","-9"
"010199","-9"
"010200","-9"
"010203","-9"
"010204","-9"
"010205","-9"
"010206","-9"
"010207","-9"
"010208","-9"
"010209","-9"
"010210","-9"
"010211","-9"
"010212","-9"
"010213","-9"
"010214","-9"
"010215","-9"
"010216","70"
"010217","82"
"010218","-9"
"010219","36"
"010220","-9"
"010221","-9"
"010222","-9"
"020001","44"
"020002","69"
"020003","-9"
"020004","36"
"020005","16"
"020006","10"
"020007","57"
"020008","44"
"020009","41"
"020010","-9"
"020011","8"
"020014","0"
"020016","58"
"020017","-9"
"020018","-9"
"020019","-9"
"020020","6"
"020021","-9"
"020023","-9"
"020024","-9"
"020025","-9"
"020026","-9"
"020029","-9"
"020034","2"
"020037","-9"
"020038","19"
"020039","0"
"020043","-9"
"020044","-9"
"020049","-9"
"020051","-9"
"020053","-9"
"020055","-9"
"020056","-9"
"020057","-9"
"020058","1"
"020059","-9"
"020060","-9"
"020061","-9"
"020065","-9"
"020067","-9"
"020068","-9"
"020071","-9"
"020072","15"
"020073","15"
"020078","-9"
"020079","-9"
"020081","-9"
"020082","-9"
"020083","-9"
"020087","-9"
"020091","-9"
"020092","-9"
"020095","-9"
"020096","-9"
"020104","-9"
"020105","-9"
"020106","-9"
"020107","-9"
"020108","-9"
"020109","29"
"020110","-9"
"020112","-9"
"020113","57"
"020114","-9"
"020115","-9"
"020118","-9"
"020120","-9"
"020121","-9"
"020122","-9"
"020123","51"
"020124","-9"
"020126","-9"
"020127","-9"
"020128","-9"
"020129","-9"
"020131","-9"
"020132","-9"
"020133","-9"
"020134","-9"
"020135","55"
"020136","-9"
"020137","-9"
"020140","-9"
"020142","107"
"020143","-9"
"020144","-9"
"020146","-9"
"020147","-9"
"020148","-9"
"020149","-9"
"020150","-9"
